Order_ID,Customer_ID,Product_ID,Quantity,Order_Date,Order_Time,Delivery_Date,Delivery_Time,Location,Occasion,Delivery Diff,Price (INR)
1,C037,67,5,2/24/2023,11:48:13 PM,3/5/2023,7:27:10 AM,Bardhaman,Anniversary,9,1374
3,C029,67,5,7/14/2023,7:12:03 PM,7/19/2023,5:39:00 PM,Bilaspur,Anniversary,5,1374
2,C019,41,2,11/7/2023,11:30:18 PM,11/13/2023,7:16:17 AM,Jaipur,Diwali,6,1977
50,C014,41,4,11/9/2023,6:56:33 AM,11/16/2023,10:19:22 AM,Jamalpur,Diwali,7,1977
4,C012,14,5,7/10/2023,4:44:29 AM,7/19/2023,6:33:23 AM,Guwahati,Birthday,9,1915
44,C006,14,1,7/17/2023,9:57:56 PM,7/27/2023,10:48:09 AM,Bhavnagar,Birthday,10,1915
5,C078,58,2,2/11/2023,7:44:48 PM,2/18/2023,11:08:52 AM,Rajkot,Valentine's Day,7,1492
56,C095,58,5,2/8/2023,12:11:48 PM,2/13/2023,6:51:59 PM,Danapur,Valentine's Day,5,1492
55,C040,5,1,2/8/2023,8:01:07 AM,2/13/2023,7:42:58 AM,Kottayam,All Occasions,5,1444
60,C023,5,2,12/13/2023,6:46:45 AM,12/15/2023,1:03:56 PM,Darbhanga,All Occasions,2,1444
6,C040,28,4,8/20/2023,10:11:35 PM,8/26/2023,7:06:46 PM,Sirsa,Raksha Bandhan,6,1778
26,C040,6,3,3/6/2023,5:03:06 AM,3/12/2023,6:06:11 AM,Amroha,Holi,6,1112
62,C074,6,4,3/2/2023,3:30:51 PM,3/6/2023,11:51:40 PM,Jorhat,Holi,4,1112
7,C009,45,2,5/8/2023,1:45:13 AM,5/13/2023,10:07:17 AM,Nanded,Birthday,5,722
31,C029,7,5,2/28/2023,1:13:22 PM,3/3/2023,11:35:49 PM,Nandyal,Holi,3,409
32,C065,7,5,3/4/2023,3:36:41 PM,3/5/2023,3:54:10 PM,Pudukkottai,Holi,1,409
35,C055,7,5,3/2/2023,4:10:26 PM,3/5/2023,3:00:40 PM,Asansol,Holi,3,409
47,C013,7,5,2/26/2023,1:04:28 PM,2/28/2023,6:00:20 AM,Jaipur,Holi,2,409
8,C097,43,3,11/8/2023,7:20:02 PM,11/14/2023,8:44:45 AM,Morena,Diwali,6,750
22,C054,43,1,11/9/2023,1:05:28 AM,11/14/2023,9:49:47 AM,Tenali,Diwali,5,750
39,C054,43,2,11/2/2023,7:25:58 PM,11/4/2023,1:28:42 PM,Vellore,Diwali,2,750
49,C020,43,1,11/11/2023,5:44:30 PM,11/18/2023,1:49:52 PM,Nangloi Jat,Diwali,7,750
33,C047,8,3,4/15/2023,1:37:27 AM,4/25/2023,2:13:27 AM,Amroha,Anniversary,10,252
9,C044,27,4,8/20/2023,11:39:51 PM,8/29/2023,11:59:54 PM,Rajkot,Raksha Bandhan,9,548
27,C063,9,2,8/22/2023,11:16:28 AM,8/30/2023,7:59:12 AM,Raipur,Raksha Bandhan,8,1605
52,C023,9,1,8/29/2023,7:55:22 PM,9/7/2023,4:22:02 AM,Hospet,Raksha Bandhan,9,1605
53,C045,9,5,8/20/2023,8:25:45 AM,8/27/2023,5:59:31 AM,Kozhikode,Raksha Bandhan,7,1605
71,C013,9,5,8/20/2023,4:32:06 PM,8/28/2023,1:31:32 PM,Karnal,Raksha Bandhan,8,1605
10,C099,56,3,2/26/2023,12:17:26 AM,3/8/2023,8:47:43 PM,Ambala,Anniversary,10,1272
29,C064,10,5,9/22/2023,1:06:22 AM,10/1/2023,2:29:16 PM,Kollam,Birthday,9,259
51,C036,10,1,3/15/2023,9:23:49 AM,3/19/2023,4:46:40 PM,Agartala,Birthday,4,259
67,C047,10,2,7/6/2023,5:28:21 PM,7/14/2023,9:11:01 PM,Thrissur,Birthday,8,259
11,C065,16,4,3/2/2023,8:14:55 PM,3/3/2023,11:19:47 PM,Belgaum,Holi,1,1721
12,C097,38,3,7/12/2023,8:28:56 AM,7/20/2023,11:34:57 PM,Karnal,Birthday,8,562
23,C041,12,3,5/5/2023,5:28:33 AM,5/6/2023,12:12:24 PM,Ludhiana,Anniversary,1,672
69,C091,12,4,9/2/2023,7:21:41 PM,9/8/2023,9:30:02 AM,Hyderabad,Anniversary,6,672
13,C024,20,3,2/24/2023,4:47:16 PM,3/4/2023,2:27:37 AM,Gandhidham,Anniversary,8,697
16,C013,20,3,2/16/2023,3:06:11 PM,2/20/2023,10:14:21 PM,Khammam,Anniversary,4,697
14,C042,60,1,11/8/2023,3:46:06 AM,11/15/2023,12:08:02 PM,Bilaspur,Diwali,7,827
17,C056,60,2,11/4/2023,11:31:33 AM,11/13/2023,6:40:13 PM,Kota,Diwali,9,827
15,C069,21,5,8/26/2023,2:52:39 AM,8/30/2023,1:26:45 PM,Pune,Raksha Bandhan,4,1561
34,C071,17,2,10/1/2023,10:58:15 PM,10/5/2023,5:36:46 AM,Tirupati,Anniversary,4,1899
70,C037,17,1,9/28/2023,4:21:09 AM,10/3/2023,11:44:33 AM,Vijayanagaram,Anniversary,5,1899
18,C072,23,4,12/10/2023,10:46:15 AM,12/11/2023,12:20:29 AM,Moradabad,Anniversary,1,1098
30,C044,23,4,1/13/2023,9:23:33 AM,1/15/2023,1:36:58 PM,Bulandshahr,Anniversary,2,1098
19,C072,62,4,3/7/2023,7:59:48 AM,3/8/2023,3:04:34 AM,Vijayanagaram,Holi,1,1356
37,C096,19,5,2/10/2023,11:01:04 AM,2/15/2023,9:19:36 PM,Katni,Valentine's Day,5,1234
20,C011,52,1,2/11/2023,2:36:57 PM,2/14/2023,1:34:16 AM,Madurai,Valentine's Day,3,236
21,C090,32,1,2/9/2023,11:20:52 AM,2/12/2023,11:36:26 AM,Bathinda,Birthday,3,1792
46,C059,22,4,4/18/2023,3:21:11 AM,4/23/2023,8:02:45 AM,Guna,All Occasions,5,1639
24,C018,42,3,7/25/2023,5:10:42 AM,8/3/2023,7:57:35 AM,Durg,All Occasions,9,1744
28,C088,42,3,5/5/2023,3:25:25 AM,5/10/2023,7:55:04 AM,Guwahati,All Occasions,5,1744
63,C056,42,3,6/25/2023,6:22:38 AM,6/26/2023,3:40:04 PM,Munger,All Occasions,1,1744
25,C091,30,3,7/21/2023,10:46:57 AM,7/24/2023,2:28:42 PM,Panipat,Anniversary,3,751
54,C059,30,1,4/13/2023,9:55:01 AM,4/23/2023,2:30:59 PM,Ratlam,Anniversary,10,751
64,C015,25,1,6/12/2023,2:48:39 AM,6/15/2023,10:05:41 PM,Chittoor,Anniversary,3,1202
68,C050,34,4,8/25/2023,10:43:58 PM,8/31/2023,9:31:14 PM,Ahmedabad,Raksha Bandhan,6,1335
42,C080,35,1,2/26/2023,12:08:38 AM,3/7/2023,5:18:28 PM,Faridabad,Holi,9,1865
57,C090,35,5,2/26/2023,8:00:15 AM,3/6/2023,12:27:32 PM,Ahmedabad,Holi,8,1865
